,parts,,,,,prod,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Part,Prod,Supplier,,,,Prod,ProductPrice,,,,,,,,,,,,
Plastic,20,Supplier1,,,,20,10.99,,,,,,,,,,,,
Blades,205,Supplier2,,,,205,24.99,,,,,,,,,,,,
Screws,305,Supplier3,,,,50,15.99,,,,,,,,,,,,
Wires,50,Supplier2,,,,150,8.99,,,,,,,,,,,,
Circuits,450,Supplier1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,inner join,,,,,,left join,,,,,,right outer,,,,,,
,,,,,,,,,,,,,,,,,,,
Prod,Part,Supplier,ProductPrice,,,Part,Prod,Supplier,Prod,ProductPrice,,,Part,Prod,Supplier,Prod,ProductPrice,,
,,,,,,Plastic,20,Supplier1,20,10.99,,,Plastic,20,Supplier1,20,10.99,,
Plastic,20,Supplier1,10.99,,,Blades,205,Supplier2,205,24.99,,,Blades,205,Supplier2,205,24.99,,
Blades,205,Supplier2,24.99,,,Screws,305,Supplier3,null,null,,,Wires,50,Supplier2,50,15.99,,
Wires,50,Supplier2,15.99,,,Wires,50,Supplier2,50,15.99,,,null,null,null,150,8.99,,
,,,,,,Circuits,450,Supplier1,null,null,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,full outer join,,,,,,,,,,,,,,,
,,,,,,,,,,,left semi join,,exist,,lefti anit join,,,,
,,,Part,Prod,Supplier,Prod,ProductPrice,,,,,,,,,,,,
,,,Plastic,20,Supplier1,20,10.99,,,,Part,Prod,Supplier,,Part,Prod,Supplier,,
,,,Blades,205,Supplier2,205,24.99,,,,Plastic,20,Supplier1,,Screws,305,Supplier3,,
,,,Screws,305,Supplier3,null,null,,,,Blades,205,Supplier2,,Circuits,450,Supplier1,,
,,,Wires,50,Supplier2,50,15.99,,,,Wires,50,Supplier2,,,,,,
,,,Circuits,450,Supplier1,null,null,,,,,,,,,,,,
,,,null,null,null,150,8.99,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,joins,,,,,,,,,,,,,,
,,,,,duplicates,,,,,,,,,,,,,,
,,,,,colaesce,,,,,,,,,,,,,,
